game,platform,publisher,developer,games_sold,year
Wii Sports,Wii,Nintendo,Nintendo EAD,82.9,2006
Super Mario Bros.,NES,Nintendo,Nintendo EAD,40.24,1985
Counter-Strike: Global Offensive,PC,Valve,Valve Corporation,40,2012
Mario Kart Wii,Wii,Nintendo,Nintendo EAD,37.32,2008
PLAYERUNKNOWN'S BATTLEGROUNDS,PC,PUBG Corporation,PUBG Corporation,36.6,2017
Minecraft,PC,Mojang,Mojang AB,33.15,2010
Wii Sports Resort,Wii,Nintendo,Nintendo EAD,33.13,2009
Pokemon Red / Green / Blue Version,GB,Nintendo,Game Freak,31.38,1998
New Super Mario Bros.,DS,Nintendo,Nintendo EAD,30.8,2006
New Super Mario Bros. Wii,Wii,Nintendo,Nintendo EAD,30.3,2009
Tetris,GB,Nintendo,Bullet Proof Software,30.26,1989
Call of Duty: Modern Warfare,PS4,Activision,Infinity Ward,30.13,2019
Duck Hunt,NES,Nintendo,Nintendo R&D1,28.31,1985
Wii Play,Wii,Nintendo,Nintendo EAD,28.02,2007
Mario Kart 8 Deluxe,NS,Nintendo,Nintendo EPD,24.77,2017
Kinect Adventures!,X360,Microsoft Game Studios,Good Science Studio,24,2010
Nintendogs,DS,Nintendo,Nintendo EAD,23.96,2005
Mario Kart DS,DS,Nintendo,Nintendo EAD,23.6,2005
Pokemon Gold / Silver Version,GB,Nintendo,Game Freak,23.1,2000
Wii Fit,Wii,Nintendo,Nintendo EAD,22.67,2008
Wii Fit Plus,Wii,Nintendo,Nintendo EAD,21.13,2009
Super Mario World,SNES,Nintendo,Nintendo EAD,20.61,1991
Grand Theft Auto V,PS3,Rockstar Games,Rockstar North,20.32,2013
Grand Theft Auto V,PS4,Rockstar Games,Rockstar North,19.39,2014
Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,Nintendo SDD,19.01,2006
Super Smash Bros. Ultimate,NS,Nintendo,Bandai Namco Games,18.84,2018
Mario Kart 7,3DS,Nintendo,Nintendo EAD / Retro Studios,18.71,2011
